image,system,embed_psnr,embed_ssim,condition,family,param,attack_psnr,attack_ssim,admissible,detected,log10p,A,L,A_log10p,L_log10p,A_anchor,L_bit_accuracy,C,C_log10p,C_bit_accuracy,photometric_psnr,photometric_ssim,bit_acc
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,webp_q70,valuemetric,q=70,39.7742920025862,0.9515102505683899,1,0,-1.3382956967123734,,2.482555023063131,,,,,,,,,,0.5229166666666667
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,webp_q40,valuemetric,q=40,37.55600348482662,0.9219830632209778,1,0,-1.1196542193597343,,2.270726366080074,,,,,,,,,,0.51875
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,noise_s4,valuemetric,sigma=4.0,36.08160910840101,0.8634626269340515,1,1,-20.70527577098321,,9.76479998121792,,,,,,,,,,0.6416666666666667
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,noise_s8,valuemetric,sigma=8.0,30.062924925200143,0.6238675117492676,0,1,-15.512939009305931,,8.452202329730833,,,,,,,,,,0.625
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,noise_s15,valuemetric,sigma=15.0,24.616476280852364,0.33843985199928284,0,1,-11.422106916837256,,7.252637191710839,,,,,,,,,,0.58125
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,saltpepper_0.02,valuemetric,d=0.02,21.89769037512844,0.5365391373634338,0,0,-5.417161832078534,,4.994692399113352,,,,,,,,,,0.5458333333333333
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,blur_1.0,valuemetric,sigma=1.0,38.93695138853461,0.9715970158576965,1,1,-14.422354944765214,,8.149687049413044,,,,,,,,,,0.6416666666666667
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,blur_2.0,valuemetric,sigma=2.0,34.2813333267335,0.906404435634613,1,0,-5.558914615565736,,5.059619338849196,,,,,,,,,,0.5916666666666667
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,median_3,valuemetric,k=3,41.86142267308249,0.9844059348106384,1,1,-12.880422975334904,,7.70172317529839,,,,,,,,,,0.6333333333333333
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,median_5,valuemetric,k=5,36.908777020080606,0.9397544264793396,1,0,-3.594774784432271,,4.068728261092065,,,,,,,,,,0.5708333333333333
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,sharpen_1.5,valuemetric,a=1.5,34.830260511023674,0.9415877461433411,1,1,-28.513117498844633,,11.458959752754813,,,,,,,,,,0.6625
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,gamma_0.7,valuemetric,"b=0.0,c=1.0,g=0.7,s=1.0",20.740986725148403,0.9664876461029053,1,1,-32.69975847147688,,12.271428311401117,,,,,,,,,,0.6729166666666667
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,gamma_1.4,valuemetric,"b=0.0,c=1.0,g=1.4,s=1.0",22.5866731337465,0.9799485802650452,1,1,-17.8490218627298,,9.066299318426063,,,,,,,,,,0.6395833333333333
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,contrast_1.3,valuemetric,"b=0.0,c=1.3,g=1.0,s=1.0",22.559440896096582,0.9734890460968018,1,1,-24.295750835083872,,10.577621064867257,,,,,,,,,,0.6520833333333333
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,desaturate_0.5,valuemetric,"b=0.0,c=1.0,g=1.0,s=0.5",35.097075943597545,0.9985993504524231,1,1,-23.90150013472944,,10.491447746657578,,,,,,,,,,0.6541666666666667
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,posterise_24,valuemetric,L=24,38.007531247023174,0.9135732054710388,1,1,-19.468536391275027,,9.468681183455484,,,,,,,,,,0.6416666666666667
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,translate_7_11,geometric,"7,11",inf,1.0,1,1,-22.848335008093294,,10.257703016696244,,,,,,,,,,0.6541666666666667
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,crop_0.9,geometric,0.9,inf,1.0,1,0,-0.4152127654582092,,1.3827962425208606,,,,,,,,,,0.5270833333333333
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,crop_0.75,geometric,0.75,inf,1.0,1,0,-0.39651309359239584,,1.3512994771573055,,,,,,,,,,0.51875
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,crop_0.5,geometric,0.5,inf,1.0,1,0,-0.3602020648749062,,1.2879409187122157,,,,,,,,,,0.5104166666666666
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,rescale_0.5,geometric,x0.5,39.95326508783001,0.9799940586090088,1,1,-6.341117739189794,,5.403880675806698,,,,,,,,,,0.5854166666666667
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,rescale_0.3,geometric,x0.3,35.64723270591901,0.9285094141960144,1,0,-5.389755348714574,,4.982041814524463,,,,,,,,,,0.5854166666666667
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,aspect_1.15,geometric,r=1.15,53.63647174485156,0.999500036239624,1,0,-0.2413632633221266,,1.0542859689115902,,,,,,,,,,0.51875
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,rotate_5,geometric,5.0deg,inf,1.0,1,0,-0.7804045539469938,,1.8957573116952577,,,,,,,,,,0.5354166666666667
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,rotate_15,geometric,15.0deg,inf,1.0,1,0,-0.00942137863938232,,0.2082955880977525,,,,,,,,,,0.5166666666666667
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,rotate_30,geometric,30.0deg,inf,1.0,1,0,-0.4890101876837011,,1.5006582345642265,,,,,,,,,,0.5208333333333334
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,hflip,geometric,,inf,1.0,1,0,-2.614356946653892,,3.469806718862214,,,,,,,,,,0.5229166666666667
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,warp_3.0,geometric,a=3.0,35.590764555422346,0.9391469359397888,1,1,-7.421920115043941,,5.8462984217867,,,,,,,,,,0.5854166666666667
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,warp_6.0,geometric,a=6.0,31.10964466191463,0.8398327827453613,1,0,-1.072452830795555,,2.222347363095657,,,,,,,,,,0.5333333333333333
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,overlay_0.15,geometric,f=0.15,12.983785665426954,0.882384717464447,1,1,-9.59687402309834,,6.64794991932521,,,,,,,,,,0.6104166666666667
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,whiten_1.0,adaptive,s=1.0,28.08408594224465,0.7368801236152649,1,0,-0.011905644166463204,,0.2341527654339779,,,,,,,,,,0.49583333333333335
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,vae_sd_n0.0,generative,"sd-vae-ft-mse,n=0.0",37.39200096507856,0.9580235481262207,1,0,-1.6856831771570677,,2.7861905732496854,,,,,,,,,,0.5166666666666667
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,vae_sd_n0.35,generative,"sd-vae-ft-mse,n=0.35",26.25146477607688,0.7036364674568176,1,0,-2.300428153037485,,3.254821522814404,,,,,,,,,,0.5395833333333333
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,vae_sdxl_n0.2,generative,"sdxl-vae-fp16-fix,n=0.2",29.341860015263023,0.7984787821769714,1,0,-1.5157821238338816,,2.642051219248692,,,,,,,,,,0.5229166666666667
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,img2img_s0.15,generative,s=0.15,31.772780090310494,0.8896549344062805,1,0,-0.8440925833264892,,1.971595800094131,,,,,,,,,,0.5125
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,img2img_s0.3,generative,s=0.3,29.775079688792502,0.8540241122245789,1,0,-0.2625765700704897,,1.0996407558960481,,,,,,,,,,0.5041666666666667
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,img2img_s0.5,generative,s=0.5,27.48464339596223,0.8049457669258118,1,0,-0.7278180339962855,,1.8307719440127328,,,,,,,,,,0.5291666666666667
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,purify_r2,generative,"r=2,n=0.3",23.475701463236334,0.583283543586731,0,0,-0.899351715052632,,2.0351087697903614,,,,,,,,,,0.5270833333333333
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,stack_img2img_crop_jpeg,composite,img2img(s=0.25)->crop(0.85)->jpeg(q=60),inf,1.0,1,0,-0.46966488370753406,,1.4706755998028593,,,,,,,,30.100134285389917,0.8557191491127014,0.5145833333333333
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,stack_crop_jpeg_noise,composite,crop(0.8)->jpeg(q=50)->noise(sigma=5.0),inf,1.0,1,0,-0.4928302443896812,,1.5065082635739455,,,,,,,,33.09199187116017,0.7764944434165955,0.525
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,stack_whiten_jpeg_noise,composite,whiten(s=1.0)->jpeg(q=60)->noise(sigma=4.0),27.225310496116947,0.6101690530776978,0,0,-0.289412411453031,,1.1544667204724512,,,,,,,,,,0.5083333333333333
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,rsid_v1_light,reverse_synthid,mode=light,35.881369804439025,0.9136483073234558,1,0,-5.337453273944256,,4.957810069604585,,,,,,,,,,0.5708333333333333
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,rsid_v1_balanced,reverse_synthid,mode=balanced,31.425606635266096,0.8565754294395447,1,0,-3.7460811407265178,,4.153473387848539,,,,,,,,,,0.5604166666666667
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,rsid_v1_aggressive,reverse_synthid,mode=aggressive,29.981955248409857,0.8245062232017517,1,0,-2.9748496952855654,,3.7013091095617567,,,,,,,,,,0.5520833333333334
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,rsid_v1_maximum,reverse_synthid,mode=maximum,28.544274015756574,0.7631254196166992,1,0,-1.2130452612806166,,2.363531229221148,,,,,,,,,,0.5229166666666667
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,rsid_v2_moderate,reverse_synthid,moderatex2,32.992170158818375,0.8886111378669739,1,0,-0.33149183728945375,,1.2355469744140883,,,,,,,,,,0.50625
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,rsid_v2_aggressive,reverse_synthid,aggressivex2,30.002303383462397,0.7617550492286682,1,0,-0.3007110791142495,,1.176786172647031,,,,,,,,,,0.51875
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,rsid_v2_maximum,reverse_synthid,maximumx2,25.442414576721927,0.717014491558075,1,0,-0.3339928023490082,,1.2401990548747672,,,,,,,,,,0.5166666666666667
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,rsid_simple_q50,reverse_synthid,q=50,39.73847793605588,0.9648897647857666,1,0,-4.401598940596518,,4.502234135616655,,,,,,,,,,0.5541666666666667
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,rsid_simple_q30,reverse_synthid,q=30,37.44409040029048,0.9445042014122009,1,0,-3.188467769997272,,3.831897273332803,,,,,,,,,,0.5458333333333333
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,codebook_whiten_16k,codebook,k=16384,29.291321784056628,0.7661570906639099,1,1,-22.53882732286225,,10.187989772981666,,,,,,,,,,0.6458333333333334
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,codebook_whiten_64k,codebook,k=65536,29.285668080739566,0.7654840350151062,1,1,-22.377176179542957,,10.151389293522051,,,,,,,,,,0.6458333333333334
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,codebook_sub_r5,codebook,r=5.0,28.97315659436273,0.7559600472450256,1,1,-15.659321374689622,,8.491986806838945,,,,,,,,,,0.6395833333333333
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,collusion_0.3,codebook,w=0.3,19.644386346967615,0.9399059414863586,0,1,-17.452183173337513,,8.964946939623065,,,,,,,,,,0.6354166666666666
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,rsid_v3_gentle,reverse_synthid,gentle,50.10345784186593,0.9970785975456238,1,1,-18.953476100915374,,9.34258974057907,,,,,,,,,,0.64375
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,rsid_v3_moderate,reverse_synthid,moderate,50.10784094075725,0.9971478581428528,1,1,-18.763649387023246,,9.29568710410657,,,,,,,,,,0.6416666666666667
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,rsid_v3_aggressive,reverse_synthid,aggressive,49.938350452415804,0.9973945617675781,1,1,-20.024925762615286,,9.603030308117368,,,,,,,,,,0.65
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,rsid_v3_maximum,reverse_synthid,maximum,49.20763672820611,0.9974980354309082,1,1,-22.430492316588623,,10.16347551152601,,,,,,,,,,0.6520833333333333
MzXxPDebYiM.png,stablesig,33.497096409357304,0.7490658164024353,clean,none,,inf,1.0,1,1,-219.06296128698256,,31.999998092651367,,,,,,,,,,1.0
MzXxPDebYiM.png,stablesig,33.497096409357304,0.7490658164024353,unmarked,none,,inf,1.0,1,0,0.0,,2.0502798557281494,,,,,,,,,,0.5048828125
MzXxPDebYiM.png,stablesig,33.497096409357304,0.7490658164024353,jpeg_q90,valuemetric,q=90,36.44099820149834,0.8675255179405212,1,1,-219.0628287508524,,31.999988555908203,,,,,,,,,,1.0
MzXxPDebYiM.png,stablesig,33.497096409357304,0.7490658164024353,jpeg_q75,valuemetric,q=75,33.964195389540876,0.7755589485168457,1,1,-217.11216507553152,,31.859317779541016,,,,,,,,,,0.99609375
MzXxPDebYiM.png,stablesig,33.497096409357304,0.7490658164024353,jpeg_q50,valuemetric,q=50,33.02654262352668,0.7425848841667175,1,1,-180.53542930179526,,29.095945358276367,,,,,,,,,,0.9423828125
